filename	topic	identifier
corpus\baek007.txt	49	baek007
corpus\baer004.txt	21	baer004
corpus\baer005.txt	-1	baer005
corpus\baer006.txt	9	baer006
corpus\baer085.txt	21	baer085
corpus\baet009.txt	27	baet009
corpus\baey009.txt	-1	baey009
corpus\bake002.txt	-1	bake002
corpus\bake007.txt	2	bake007
corpus\bake010.txt	1	bake010
corpus\bake011.txt	48	bake011
corpus\bake012.txt	-1	bake012
corpus\bake019.txt	0	bake019
corpus\bake032.txt	-1	bake032
corpus\bakh003.txt	-1	bakh003
corpus\bakh005.txt	1	bakh005
corpus\bakh006.txt	1	bakh006
corpus\bakh007.txt	-1	bakh007
corpus\bakk002.txt	0	bakk002
corpus\bakk005.txt	-1	bakk005
corpus\bakk007.txt	0	bakk007
corpus\bakk008.txt	0	bakk008
corpus\bakk010.txt	32	bakk010
corpus\bakk014.txt	-1	bakk014
corpus\bakk021.txt	1	bakk021
corpus\bakk031.txt	-1	bakk031
corpus\bakk032.txt	13	bakk032
corpus\bakk033.txt	1	bakk033
corpus\bakk034.txt	0	bakk034
corpus\bakk039.txt	-1	bakk039
corpus\bakk071.txt	-1	bakk071
corpus\bakk088.txt	-1	bakk088
corpus\bakk089.txt	2	bakk089
corpus\balj004.txt	0	balj004
corpus\balk001.txt	3	balk001
corpus\balk003.txt	0	balk003
corpus\ball005.txt	1	ball005
corpus\balt006.txt	1	balt006
corpus\baly001.txt	0	baly001
corpus\bal_002.txt	46	bal_002
corpus\banc001.txt	1	banc001
corpus\bank003.txt	4	bank003
corpus\bann002.txt	8	bann002
corpus\barb007.txt	2	barb007
corpus\barb031.txt	49	barb031
corpus\bare001.txt	0	bare001
corpus\bare002.txt	0	bare002
corpus\bare008.txt	-1	bare008
corpus\bare036.txt	10	bare036
corpus\barg002.txt	8	barg002
corpus\barn001.txt	45	barn001
corpus\barn005.txt	6	barn005
corpus\barn022.txt	0	barn022
corpus\bart007.txt	0	bart007
corpus\bart008.txt	8	bart008
corpus\bart011.txt	-1	bart011
corpus\bart012.txt	0	bart012
corpus\bart019.txt	2	bart019
corpus\bart020.txt	1	bart020
corpus\bart045.txt	-1	bart045
corpus\basa001.txt	0	basa001
corpus\bass032.txt	0	bass032
corpus\bast001.txt	0	bast001
corpus\bast002.txt	-1	bast002
corpus\bast003.txt	0	bast003
corpus\bas_016.txt	0	bas_016
corpus\batt001.txt	0	batt001
corpus\baud010.txt	13	baud010
corpus\baud028.txt	-1	baud028
corpus\baud033.txt	-1	baud033
corpus\baue020.txt	-1	baue020
corpus\baum003.txt	2	baum003
corpus\baum004.txt	-1	baum004
corpus\baur001.txt	1	baur001
corpus\baxt001.txt	-1	baxt001
corpus\bax_001.txt	24	bax_001
corpus\bax_003.txt	17	bax_003
corpus\bax_005.txt	0	bax_005
corpus\bax_011.txt	-1	bax_011
corpus\bazu001.txt	0	bazu001
corpus\beau004.txt	25	beau004
corpus\beau005.txt	0	beau005
corpus\beau011.txt	-1	beau011
corpus\beau016.txt	-1	beau016
corpus\beau034.txt	-1	beau034
corpus\beau035.txt	-1	beau035
corpus\beav001.txt	-1	beav001
corpus\beck005.txt	14	beck005
corpus\beck030.txt	-1	beck030
