filename	topic	textID
corpus_final_ids\DIE_1900_69.txt	-1	DIE_1900_69
corpus_final_ids\DIE_1900_7.txt	0	DIE_1900_7
corpus_final_ids\DIE_1900_70.txt	0	DIE_1900_70
corpus_final_ids\DIE_1900_71.txt	-1	DIE_1900_71
corpus_final_ids\DIE_1900_72.txt	244	DIE_1900_72
corpus_final_ids\DIE_1900_73.txt	-1	DIE_1900_73
corpus_final_ids\DIE_1900_74.txt	-1	DIE_1900_74
corpus_final_ids\DIE_1900_75.txt	-1	DIE_1900_75
corpus_final_ids\DIE_1900_76.txt	188	DIE_1900_76
corpus_final_ids\DIE_1900_77.txt	-1	DIE_1900_77
corpus_final_ids\DIE_1900_78.txt	-1	DIE_1900_78
corpus_final_ids\DIE_1900_79.txt	-1	DIE_1900_79
corpus_final_ids\DIE_1900_8.txt	-1	DIE_1900_8
corpus_final_ids\DIE_1900_80.txt	-1	DIE_1900_80
corpus_final_ids\DIE_1900_81.txt	0	DIE_1900_81
corpus_final_ids\DIE_1900_82.txt	0	DIE_1900_82
corpus_final_ids\DIE_1900_83.txt	0	DIE_1900_83
corpus_final_ids\DIE_1900_84.txt	-1	DIE_1900_84
corpus_final_ids\DIE_1900_85.txt	-1	DIE_1900_85
corpus_final_ids\DIE_1900_86.txt	-1	DIE_1900_86
corpus_final_ids\DIE_1900_87.txt	-1	DIE_1900_87
corpus_final_ids\DIE_1900_88.txt	-1	DIE_1900_88
corpus_final_ids\DIE_1900_89.txt	12	DIE_1900_89
corpus_final_ids\DIE_1900_9.txt	0	DIE_1900_9
corpus_final_ids\DIE_1900_90.txt	-1	DIE_1900_90
corpus_final_ids\DIE_1900_91.txt	0	DIE_1900_91
corpus_final_ids\DIE_1900_92.txt	0	DIE_1900_92
corpus_final_ids\DIE_1900_93.txt	0	DIE_1900_93
corpus_final_ids\DIE_1900_94.txt	0	DIE_1900_94
corpus_final_ids\DIE_1900_95.txt	0	DIE_1900_95
corpus_final_ids\DIE_1900_96.txt	-1	DIE_1900_96
corpus_final_ids\DIE_1900_97.txt	244	DIE_1900_97
corpus_final_ids\DIE_1900_98.txt	-1	DIE_1900_98
corpus_final_ids\DIE_1900_99.txt	1	DIE_1900_99
corpus_final_ids\DIE_1901_1.txt	-1	DIE_1901_1
corpus_final_ids\DIE_1901_10.txt	-1	DIE_1901_10
corpus_final_ids\DIE_1901_100.txt	1	DIE_1901_100
corpus_final_ids\DIE_1901_101.txt	-1	DIE_1901_101
corpus_final_ids\DIE_1901_102.txt	11	DIE_1901_102
corpus_final_ids\DIE_1901_103.txt	-1	DIE_1901_103
corpus_final_ids\DIE_1901_104.txt	0	DIE_1901_104
corpus_final_ids\DIE_1901_105.txt	-1	DIE_1901_105
corpus_final_ids\DIE_1901_106.txt	5	DIE_1901_106
corpus_final_ids\DIE_1901_107.txt	0	DIE_1901_107
corpus_final_ids\DIE_1901_108.txt	1	DIE_1901_108
corpus_final_ids\DIE_1901_109.txt	1	DIE_1901_109
corpus_final_ids\DIE_1901_11.txt	4	DIE_1901_11
corpus_final_ids\DIE_1901_110.txt	-1	DIE_1901_110
corpus_final_ids\DIE_1901_111.txt	16	DIE_1901_111
corpus_final_ids\DIE_1901_112.txt	-1	DIE_1901_112
corpus_final_ids\DIE_1901_113.txt	185	DIE_1901_113
corpus_final_ids\DIE_1901_114.txt	122	DIE_1901_114
corpus_final_ids\DIE_1901_115.txt	0	DIE_1901_115
corpus_final_ids\DIE_1901_116.txt	-1	DIE_1901_116
corpus_final_ids\DIE_1901_117.txt	-1	DIE_1901_117
corpus_final_ids\DIE_1901_118.txt	-1	DIE_1901_118
corpus_final_ids\DIE_1901_119.txt	-1	DIE_1901_119
corpus_final_ids\DIE_1901_12.txt	-1	DIE_1901_12
corpus_final_ids\DIE_1901_13.txt	0	DIE_1901_13
corpus_final_ids\DIE_1901_14.txt	19	DIE_1901_14
corpus_final_ids\DIE_1901_15.txt	0	DIE_1901_15
corpus_final_ids\DIE_1901_16.txt	0	DIE_1901_16
corpus_final_ids\DIE_1901_17.txt	0	DIE_1901_17
corpus_final_ids\DIE_1901_18.txt	0	DIE_1901_18
corpus_final_ids\DIE_1901_19.txt	-1	DIE_1901_19
corpus_final_ids\DIE_1901_2.txt	0	DIE_1901_2
corpus_final_ids\DIE_1901_20.txt	-1	DIE_1901_20
corpus_final_ids\DIE_1901_21.txt	-1	DIE_1901_21
corpus_final_ids\DIE_1901_22.txt	-1	DIE_1901_22
corpus_final_ids\DIE_1901_23.txt	-1	DIE_1901_23
corpus_final_ids\DIE_1901_24.txt	-1	DIE_1901_24
corpus_final_ids\DIE_1901_25.txt	-1	DIE_1901_25
corpus_final_ids\DIE_1901_26.txt	-1	DIE_1901_26
corpus_final_ids\DIE_1901_27.txt	19	DIE_1901_27
corpus_final_ids\DIE_1901_28.txt	22	DIE_1901_28
corpus_final_ids\DIE_1901_29.txt	1	DIE_1901_29
corpus_final_ids\DIE_1901_3.txt	-1	DIE_1901_3
corpus_final_ids\DIE_1901_30.txt	0	DIE_1901_30
corpus_final_ids\DIE_1901_31.txt	-1	DIE_1901_31
corpus_final_ids\DIE_1901_32.txt	1	DIE_1901_32
corpus_final_ids\DIE_1901_33.txt	-1	DIE_1901_33
corpus_final_ids\DIE_1901_34.txt	21	DIE_1901_34
corpus_final_ids\DIE_1901_35.txt	-1	DIE_1901_35
corpus_final_ids\DIE_1901_36.txt	0	DIE_1901_36
corpus_final_ids\DIE_1901_37.txt	155	DIE_1901_37
